type	guardian	id	clip_start	clip_end	time	day_night	hour	weekday	weekday_num	unixtime
car	686862515160	2015-03-02T12-19-41	-4	26	2015-03-02T12:19:52.000Z	day	13	Mon	1	1425298792
car	6a7b86c28a67	2015-02-14T14-53-37	19	49	2015-02-14T14:54:11.000Z	day	15	Sat	6	1423925651
car	ed7f84df28eb	2015-02-07T13-49-11	33	63	2015-02-07T13:49:59.000Z	day	14	Sat	6	1423316999
car	48043ef7e3bc	2015-01-05T09-38-08	37	67	2015-01-05T09:39:00.000Z	day	10	Mon	1	1420450740
car	686862515160	2015-03-03T12-22-51	52	82	2015-03-03T12:23:58.000Z	day	13	Tue	2	1425385438
car	686862515160	2015-03-03T12-22-51	56	86	2015-03-03T12:24:02.000Z	day	13	Tue	2	1425385442
car	686862515160	2015-02-28T12-55-14	65	95	2015-02-28T12:56:34.000Z	day	13	Sat	6	1425128194
car	22720ac238e1	2015-02-26T11-25-25	70	100	2015-02-26T11:26:50.000Z	day	12	Thu	4	1424950010
car	686862515160	2015-02-28T10-44-29	72	102	2015-02-28T10:45:56.000Z	day	11	Sat	6	1425120356
car	22720ac238e1	2015-02-25T16-03-37	73	103	2015-02-25T16:05:05.000Z	day	17	Wed	3	1424880305
car	686862515160	2015-03-01T16-04-36	87	117	2015-03-01T16:06:18.000Z	day	17	Sun	7	1425225978
car	686862515160	2015-03-01T16-04-36	91	121	2015-03-01T16:06:22.000Z	day	17	Sun	7	1425225982
car	ed7f84df28eb	2015-02-07T10-48-49	164	194	2015-02-07T10:51:48.000Z	day	11	Sat	6	1423306308
car	22720ac238e1	2015-02-26T11-07-21	184	214	2015-02-26T11:10:40.000Z	day	12	Thu	4	1424949040
car	48043ef7e3bc	2015-01-24T03-40-13	202	232	2015-01-24T03:43:50.000Z	night	4	Sat	6	1422071030
car	6a7b86c28a67	2015-02-13T16-07-02	282	312	2015-02-13T16:11:59.000Z	day	17	Fri	5	1423843919
chainsaw	22720ac238e1	2015-02-26T03-23-51	33	63	2015-02-26T03:24:39.000Z	night	4	Thu	4	1424921079
chainsaw	d2f3d1c7cca5	2015-03-04T13-02-02	38	68	2015-03-04T13:02:55.000Z	day	14	Wed	3	1425474175
chainsaw	22720ac238e1	2015-02-25T20-52-36	107	137	2015-02-25T20:54:38.000Z	night	21	Wed	3	1424897678
chainsaw	5dbdf80c2085	2015-02-14T03-51-42	117	147	2015-02-14T03:53:54.000Z	night	4	Sat	6	1423886034
chainsaw	5dbdf80c2085	2015-02-13T12-06-34	158	188	2015-02-13T12:09:27.000Z	day	13	Fri	5	1423829367
chainsaw	22720ac238e1	2015-02-26T03-05-48	201	231	2015-02-26T03:09:24.000Z	night	4	Thu	4	1424920164
motorcycle	d2f3d1c7cca5	2015-02-28T09-05-42	-3	27	2015-02-28T09:05:54.000Z	day	10	Sat	6	1425114354
motorcycle	6a7b86c28a67	2015-02-14T23-01-13	5	35	2015-02-14T23:01:33.000Z	night	0	Sun	7	1423954893
motorcycle	22720ac238e1	2015-03-02T21-24-38	18	48	2015-03-02T21:25:11.000Z	night	22	Mon	1	1425331511
motorcycle	d2f3d1c7cca5	2015-03-02T20-24-37	19	49	2015-03-02T20:25:11.000Z	night	21	Mon	1	1425327911
motorcycle	22720ac238e1	2015-03-02T10-03-51	22	52	2015-03-02T10:04:28.000Z	day	11	Mon	1	1425290668
motorcycle	22720ac238e1	2015-03-02T11-12-03	26	56	2015-03-02T11:12:44.000Z	day	12	Mon	1	1425294764
motorcycle	6a7b86c28a67	2015-02-15T10-51-35	52	82	2015-02-15T10:52:42.000Z	day	11	Sun	7	1423997562
motorcycle	d2f3d1c7cca5	2015-02-28T09-05-42	52	82	2015-02-28T09:06:49.000Z	day	10	Sat	6	1425114409
