type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
chainsaw	48043ef7e3bc-2015-01-27T15-33-50	48043ef7e3bc	2015-01-27T15:37:43.000Z	1422373063	Tue	2	16	day	03:53	48043ef7e3bc-2015-01-27T15-33-50.wav
chainsaw	48043ef7e3bc-2015-01-27T15-39-50	48043ef7e3bc	2015-01-27T15:41:28.000Z	1422373288	Tue	2	16	day	01:38	48043ef7e3bc-2015-01-27T15-39-50.wav
chainsaw	48043ef7e3bc-2015-01-27T15-39-50	48043ef7e3bc	2015-01-27T15:42:05.000Z	1422373325	Tue	2	16	day	02:15	48043ef7e3bc-2015-01-27T15-39-50.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:35:32.000Z	1422448532	Wed	3	13	day	01:22	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:35:58.000Z	1422448558	Wed	3	13	day	01:48	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-34-10	48043ef7e3bc	2015-01-28T12:36:09.000Z	1422448569	Wed	3	13	day	01:59	48043ef7e3bc-2015-01-28T12-34-10.wav
chainsaw	48043ef7e3bc-2015-01-28T12-52-12	48043ef7e3bc	2015-01-28T12:53:11.000Z	1422449591	Wed	3	13	day	00:59	48043ef7e3bc-2015-01-28T12-52-12.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:17:35.000Z	1422454655	Wed	3	15	day	01:13	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:17:43.000Z	1422454663	Wed	3	15	day	01:21	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:19:42.000Z	1422454782	Wed	3	15	day	03:20	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-16-22	48043ef7e3bc	2015-01-28T14:21:20.000Z	1422454880	Wed	3	15	day	04:58	48043ef7e3bc-2015-01-28T14-16-22.wav
chainsaw	48043ef7e3bc-2015-01-28T14-22-23	48043ef7e3bc	2015-01-28T14:24:40.000Z	1422455080	Wed	3	15	day	02:17	48043ef7e3bc-2015-01-28T14-22-23.wav
chainsaw	48043ef7e3bc-2015-01-28T15-16-29	48043ef7e3bc	2015-01-28T15:20:35.000Z	1422458435	Wed	3	16	day	04:06	48043ef7e3bc-2015-01-28T15-16-29.wav
chainsaw	48043ef7e3bc-2015-01-28T15-16-29	48043ef7e3bc	2015-01-28T15:22:26.000Z	1422458546	Wed	3	16	day	05:57	48043ef7e3bc-2015-01-28T15-16-29.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:22:34.000Z	1422458554	Wed	3	16	day	00:04	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:25:27.000Z	1422458727	Wed	3	16	day	02:57	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:26:41.000Z	1422458801	Wed	3	16	day	04:11	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-22-30	48043ef7e3bc	2015-01-28T15:26:48.000Z	1422458808	Wed	3	16	day	04:18	48043ef7e3bc-2015-01-28T15-22-30.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:29:28.000Z	1422458968	Wed	3	16	day	00:57	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:30:36.000Z	1422459036	Wed	3	16	day	02:05	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:33:32.000Z	1422459212	Wed	3	16	day	05:01	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-28-31	48043ef7e3bc	2015-01-28T15:34:27.000Z	1422459267	Wed	3	16	day	05:56	48043ef7e3bc-2015-01-28T15-28-31.wav
chainsaw	48043ef7e3bc-2015-01-28T15-34-32	48043ef7e3bc	2015-01-28T15:34:49.000Z	1422459289	Wed	3	16	day	00:17	48043ef7e3bc-2015-01-28T15-34-32.wav
chainsaw	48043ef7e3bc-2015-01-28T16-04-35	48043ef7e3bc	2015-01-28T16:05:23.000Z	1422461123	Wed	3	17	day	00:48	48043ef7e3bc-2015-01-28T16-04-35.wav
chainsaw	48043ef7e3bc-2015-01-28T16-52-41	48043ef7e3bc	2015-01-28T16:58:07.000Z	1422464287	Wed	3	17	day	05:26	48043ef7e3bc-2015-01-28T16-52-41.wav
chainsaw	48043ef7e3bc-2015-01-28T16-52-41	48043ef7e3bc	2015-01-28T16:58:24.000Z	1422464304	Wed	3	17	day	05:43	48043ef7e3bc-2015-01-28T16-52-41.wav
chainsaw	48043ef7e3bc-2015-01-28T18-16-52	48043ef7e3bc	2015-01-28T18:16:56.000Z	1422469016	Wed	3	19	night	00:04	48043ef7e3bc-2015-01-28T18-16-52.wav
chainsaw	48043ef7e3bc-2015-01-28T19-35-01	48043ef7e3bc	2015-01-28T19:40:26.000Z	1422474026	Wed	3	20	night	05:25	48043ef7e3bc-2015-01-28T19-35-01.wav
chainsaw	48043ef7e3bc-2015-01-28T19-47-02	48043ef7e3bc	2015-01-28T19:47:50.000Z	1422474470	Wed	3	20	night	00:48	48043ef7e3bc-2015-01-28T19-47-02.wav
chainsaw	48043ef7e3bc-2015-01-28T21-11-13	48043ef7e3bc	2015-01-28T21:14:30.000Z	1422479670	Wed	3	22	night	03:17	48043ef7e3bc-2015-01-28T21-11-13.wav
chainsaw	48043ef7e3bc-2015-01-28T22-29-22	48043ef7e3bc	2015-01-28T22:31:57.000Z	1422484317	Wed	3	23	night	02:35	48043ef7e3bc-2015-01-28T22-29-22.wav
chainsaw	48043ef7e3bc-2015-01-28T23-17-28	48043ef7e3bc	2015-01-28T23:19:24.000Z	1422487164	Thu	4	0	night	01:56	48043ef7e3bc-2015-01-28T23-17-28.wav
chainsaw	48043ef7e3bc-2015-01-28T23-41-31	48043ef7e3bc	2015-01-28T23:42:20.000Z	1422488540	Thu	4	0	night	00:49	48043ef7e3bc-2015-01-28T23-41-31.wav
chainsaw	48043ef7e3bc-2015-01-29T00-11-34	48043ef7e3bc	2015-01-29T00:14:42.000Z	1422490482	Thu	4	1	night	03:08	48043ef7e3bc-2015-01-29T00-11-34.wav
chainsaw	48043ef7e3bc-2015-01-29T00-11-34	48043ef7e3bc	2015-01-29T00:14:56.000Z	1422490496	Thu	4	1	night	03:22	48043ef7e3bc-2015-01-29T00-11-34.wav
chainsaw	48043ef7e3bc-2015-01-29T00-17-35	48043ef7e3bc	2015-01-29T00:21:42.000Z	1422490902	Thu	4	1	night	04:07	48043ef7e3bc-2015-01-29T00-17-35.wav
chainsaw	48043ef7e3bc-2015-01-29T00-35-37	48043ef7e3bc	2015-01-29T00:41:27.000Z	1422492087	Thu	4	1	night	05:50	48043ef7e3bc-2015-01-29T00-35-37.wav
chainsaw	48043ef7e3bc-2015-01-29T00-41-38	48043ef7e3bc	2015-01-29T00:46:55.000Z	1422492415	Thu	4	1	night	05:17	48043ef7e3bc-2015-01-29T00-41-38.wav
chainsaw	48043ef7e3bc-2015-01-29T00-47-39	48043ef7e3bc	2015-01-29T00:51:52.000Z	1422492712	Thu	4	1	night	04:13	48043ef7e3bc-2015-01-29T00-47-39.wav
chainsaw	48043ef7e3bc-2015-01-29T01-11-42	48043ef7e3bc	2015-01-29T01:12:06.000Z	1422493926	Thu	4	2	night	00:24	48043ef7e3bc-2015-01-29T01-11-42.wav
chainsaw	48043ef7e3bc-2015-01-29T01-29-44	48043ef7e3bc	2015-01-29T01:30:32.000Z	1422495032	Thu	4	2	night	00:48	48043ef7e3bc-2015-01-29T01-29-44.wav
chainsaw	48043ef7e3bc-2015-01-29T01-29-44	48043ef7e3bc	2015-01-29T01:31:33.000Z	1422495093	Thu	4	2	night	01:49	48043ef7e3bc-2015-01-29T01-29-44.wav
chainsaw	48043ef7e3bc-2015-01-29T01-41-46	48043ef7e3bc	2015-01-29T01:44:49.000Z	1422495889	Thu	4	2	night	03:03	48043ef7e3bc-2015-01-29T01-41-46.wav
chainsaw	ed7f84df28eb-2015-02-07T20-50-01	ed7f84df28eb	2015-02-07T20:50:54.000Z	1423342254	Sat	6	21	night	00:53	ed7f84df28eb-2015-02-07T20-50-01.wav
chainsaw	ed7f84df28eb-2015-02-07T21-50-08	ed7f84df28eb	2015-02-07T21:53:24.000Z	1423346004	Sat	6	22	night	03:16	ed7f84df28eb-2015-02-07T21-50-08.wav
chainsaw	ed7f84df28eb-2015-02-07T22-50-16	ed7f84df28eb	2015-02-07T22:54:05.000Z	1423349645	Sat	6	23	night	03:49	ed7f84df28eb-2015-02-07T22-50-16.wav
chainsaw	ed7f84df28eb-2015-02-08T00-14-26	ed7f84df28eb	2015-02-08T00:20:11.000Z	1423354811	Sun	7	1	night	05:45	ed7f84df28eb-2015-02-08T00-14-26.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:01:54.000Z	1423371714	Sun	7	6	day	04:51	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:03.000Z	1423371723	Sun	7	6	day	05:00	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:10.000Z	1423371730	Sun	7	6	day	05:07	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:14.000Z	1423371734	Sun	7	6	day	05:11	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:17.000Z	1423371737	Sun	7	6	day	05:14	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:26.000Z	1423371746	Sun	7	6	day	05:23	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:29.000Z	1423371749	Sun	7	6	day	05:26	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:33.000Z	1423371753	Sun	7	6	day	05:30	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:39.000Z	1423371759	Sun	7	6	day	05:36	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T04-57-03	ed7f84df28eb	2015-02-08T05:02:48.000Z	1423371768	Sun	7	6	day	05:45	ed7f84df28eb-2015-02-08T04-57-03.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:03:39.000Z	1423371819	Sun	7	6	day	00:35	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:01.000Z	1423371841	Sun	7	6	day	00:57	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:21.000Z	1423371861	Sun	7	6	day	01:17	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:04:42.000Z	1423371882	Sun	7	6	day	01:38	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:05:19.000Z	1423371919	Sun	7	6	day	02:15	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:05:57.000Z	1423371957	Sun	7	6	day	02:53	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:04.000Z	1423371964	Sun	7	6	day	03:00	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:07.000Z	1423371967	Sun	7	6	day	03:03	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-03-04	ed7f84df28eb	2015-02-08T05:06:34.000Z	1423371994	Sun	7	6	day	03:30	ed7f84df28eb-2015-02-08T05-03-04.wav
chainsaw	ed7f84df28eb-2015-02-08T05-09-05	ed7f84df28eb	2015-02-08T05:09:48.000Z	1423372188	Sun	7	6	day	00:43	ed7f84df28eb-2015-02-08T05-09-05.wav
chainsaw	ed7f84df28eb-2015-02-08T05-15-05	ed7f84df28eb	2015-02-08T05:18:51.000Z	1423372731	Sun	7	6	day	03:46	ed7f84df28eb-2015-02-08T05-15-05.wav
chainsaw	ed7f84df28eb-2015-02-08T05-15-05	ed7f84df28eb	2015-02-08T05:19:00.000Z	1423372740	Sun	7	6	day	03:55	ed7f84df28eb-2015-02-08T05-15-05.wav
chainsaw	ed7f84df28eb-2015-02-08T05-21-06	ed7f84df28eb	2015-02-08T05:21:53.000Z	1423372913	Sun	7	6	day	00:47	ed7f84df28eb-2015-02-08T05-21-06.wav
chainsaw	ed7f84df28eb-2015-02-08T05-21-06	ed7f84df28eb	2015-02-08T05:24:06.000Z	1423373046	Sun	7	6	day	03:00	ed7f84df28eb-2015-02-08T05-21-06.wav
chainsaw	ed7f84df28eb-2015-02-08T05-27-07	ed7f84df28eb	2015-02-08T05:30:44.000Z	1423373444	Sun	7	6	day	03:37	ed7f84df28eb-2015-02-08T05-27-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-27-07	ed7f84df28eb	2015-02-08T05:32:39.000Z	1423373559	Sun	7	6	day	05:32	ed7f84df28eb-2015-02-08T05-27-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-33-07	ed7f84df28eb	2015-02-08T05:34:08.000Z	1423373648	Sun	7	6	day	01:01	ed7f84df28eb-2015-02-08T05-33-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-33-07	ed7f84df28eb	2015-02-08T05:34:36.000Z	1423373676	Sun	7	6	day	01:29	ed7f84df28eb-2015-02-08T05-33-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-33-07	ed7f84df28eb	2015-02-08T05:35:45.000Z	1423373745	Sun	7	6	day	02:38	ed7f84df28eb-2015-02-08T05-33-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-33-07	ed7f84df28eb	2015-02-08T05:37:28.000Z	1423373848	Sun	7	6	day	04:21	ed7f84df28eb-2015-02-08T05-33-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-33-07	ed7f84df28eb	2015-02-08T05:38:42.000Z	1423373922	Sun	7	6	day	05:35	ed7f84df28eb-2015-02-08T05-33-07.wav
chainsaw	ed7f84df28eb-2015-02-08T05-39-08	ed7f84df28eb	2015-02-08T05:39:44.000Z	1423373984	Sun	7	6	day	00:36	ed7f84df28eb-2015-02-08T05-39-08.wav
chainsaw	ed7f84df28eb-2015-02-08T05-39-08	ed7f84df28eb	2015-02-08T05:40:56.000Z	1423374056	Sun	7	6	day	01:48	ed7f84df28eb-2015-02-08T05-39-08.wav
chainsaw	ed7f84df28eb-2015-02-08T05-39-08	ed7f84df28eb	2015-02-08T05:41:03.000Z	1423374063	Sun	7	6	day	01:55	ed7f84df28eb-2015-02-08T05-39-08.wav
chainsaw	ed7f84df28eb-2015-02-08T05-39-08	ed7f84df28eb	2015-02-08T05:42:16.000Z	1423374136	Sun	7	6	day	03:08	ed7f84df28eb-2015-02-08T05-39-08.wav
chainsaw	ed7f84df28eb-2015-02-08T05-45-09	ed7f84df28eb	2015-02-08T05:49:10.000Z	1423374550	Sun	7	6	day	04:01	ed7f84df28eb-2015-02-08T05-45-09.wav
chainsaw	ed7f84df28eb-2015-02-08T05-57-10	ed7f84df28eb	2015-02-08T05:57:53.000Z	1423375073	Sun	7	6	day	00:43	ed7f84df28eb-2015-02-08T05-57-10.wav
chainsaw	ed7f84df28eb-2015-02-08T06-03-11	ed7f84df28eb	2015-02-08T06:03:52.000Z	1423375432	Sun	7	7	day	00:41	ed7f84df28eb-2015-02-08T06-03-11.wav
chainsaw	ed7f84df28eb-2015-02-08T06-03-11	ed7f84df28eb	2015-02-08T06:04:11.000Z	1423375451	Sun	7	7	day	01:00	ed7f84df28eb-2015-02-08T06-03-11.wav
chainsaw	ed7f84df28eb-2015-02-08T06-15-13	ed7f84df28eb	2015-02-08T06:18:55.000Z	1423376335	Sun	7	7	day	03:42	ed7f84df28eb-2015-02-08T06-15-13.wav
chainsaw	ed7f84df28eb-2015-02-08T06-21-13	ed7f84df28eb	2015-02-08T06:24:42.000Z	1423376682	Sun	7	7	day	03:29	ed7f84df28eb-2015-02-08T06-21-13.wav
chainsaw	ed7f84df28eb-2015-02-08T06-27-14	ed7f84df28eb	2015-02-08T06:28:07.000Z	1423376887	Sun	7	7	day	00:53	ed7f84df28eb-2015-02-08T06-27-14.wav
chainsaw	ed7f84df28eb-2015-02-08T06-27-14	ed7f84df28eb	2015-02-08T06:31:39.000Z	1423377099	Sun	7	7	day	04:25	ed7f84df28eb-2015-02-08T06-27-14.wav
chainsaw	ed7f84df28eb-2015-02-08T06-27-14	ed7f84df28eb	2015-02-08T06:32:27.000Z	1423377147	Sun	7	7	day	05:13	ed7f84df28eb-2015-02-08T06-27-14.wav
chainsaw	ed7f84df28eb-2015-02-08T06-57-19	ed7f84df28eb	2015-02-08T06:58:09.000Z	1423378689	Sun	7	7	day	00:50	ed7f84df28eb-2015-02-08T06-57-19.wav
chainsaw	ed7f84df28eb-2015-02-08T06-57-19	ed7f84df28eb	2015-02-08T06:58:32.000Z	1423378712	Sun	7	7	day	01:13	ed7f84df28eb-2015-02-08T06-57-19.wav
chainsaw	ed7f84df28eb-2015-02-08T07-03-19	ed7f84df28eb	2015-02-08T07:04:06.000Z	1423379046	Sun	7	8	day	00:47	ed7f84df28eb-2015-02-08T07-03-19.wav
chainsaw	ed7f84df28eb-2015-02-08T07-03-19	ed7f84df28eb	2015-02-08T07:07:12.000Z	1423379232	Sun	7	8	day	03:53	ed7f84df28eb-2015-02-08T07-03-19.wav
chainsaw	ed7f84df28eb-2015-02-08T07-03-19	ed7f84df28eb	2015-02-08T07:08:21.000Z	1423379301	Sun	7	8	day	05:02	ed7f84df28eb-2015-02-08T07-03-19.wav
chainsaw	ed7f84df28eb-2015-02-08T07-15-21	ed7f84df28eb	2015-02-08T07:19:50.000Z	1423379990	Sun	7	8	day	04:29	ed7f84df28eb-2015-02-08T07-15-21.wav
