type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
motorcycle	48043ef7e3bc-2015-01-24T02-46-04	48043ef7e3bc	2015-01-24T02:49:39.000Z	1422067779	Sat	6	3	night	3:35	48043ef7e3bc-2015-01-24T02-46-04.wav
motorcycle	48043ef7e3bc-2015-01-27T15-15-47	48043ef7e3bc	2015-01-27T15:17:23.000Z	1422371843	Tue	2	16	day	1:36	48043ef7e3bc-2015-01-27T15-15-47.wav
motorcycle	48043ef7e3bc-2015-01-27T15-15-47	48043ef7e3bc	2015-01-27T15:17:50.000Z	1422371870	Tue	2	16	day	2:03	48043ef7e3bc-2015-01-27T15-15-47.wav
motorcycle	48043ef7e3bc-2015-01-27T15-15-47	48043ef7e3bc	2015-01-27T15:17:56.000Z	1422371876	Tue	2	16	day	2:09	48043ef7e3bc-2015-01-27T15-15-47.wav
motorcycle	48043ef7e3bc-2015-01-27T15-27-49	48043ef7e3bc	2015-01-27T15:33:18.000Z	1422372798	Tue	2	16	day	5:29	48043ef7e3bc-2015-01-27T15-27-49.wav
motorcycle	b0eb9c751fa5-2015-02-12T08-20-30	b0eb9c751fa5	2015-02-12T08:21:32.000Z	1423729292	Thu	4	9	day	1:02	b0eb9c751fa5-2015-02-12T08-20-30.wav
motorcycle	b0eb9c751fa5-2015-02-12T08-20-30	b0eb9c751fa5	2015-02-12T08:26:19.000Z	1423729579	Thu	4	9	day	5:49	b0eb9c751fa5-2015-02-12T08-20-30.wav
motorcycle	b0eb9c751fa5-2015-02-12T14-08-44	b0eb9c751fa5	2015-02-12T14:13:20.000Z	1423750400	Thu	4	15	day	4:36	b0eb9c751fa5-2015-02-12T14-08-44.wav
motorcycle	b0eb9c751fa5-2015-02-12T14-20-47	b0eb9c751fa5	2015-02-12T14:22:28.000Z	1423750948	Thu	4	15	day	1:41	b0eb9c751fa5-2015-02-12T14-20-47.wav
motorcycle	5dbdf80c2085-2015-02-12T16-50-40	5dbdf80c2085	2015-02-12T16:54:28.000Z	1423760068	Thu	4	17	day	3:48	5dbdf80c2085-2015-02-12T16-50-40.wav
motorcycle	5dbdf80c2085-2015-02-12T17-02-43	5dbdf80c2085	2015-02-12T17:06:53.000Z	1423760813	Thu	4	18	night	4:10	5dbdf80c2085-2015-02-12T17-02-43.wav
motorcycle	5dbdf80c2085-2015-02-12T17-08-44	5dbdf80c2085	2015-02-12T17:09:11.000Z	1423760951	Thu	4	18	night	0:27	5dbdf80c2085-2015-02-12T17-08-44.wav
motorcycle	5dbdf80c2085-2015-02-12T17-08-44	5dbdf80c2085	2015-02-12T17:11:17.000Z	1423761077	Thu	4	18	night	2:33	5dbdf80c2085-2015-02-12T17-08-44.wav
motorcycle	b0eb9c751fa5-2015-02-12T17-09-17	b0eb9c751fa5	2015-02-12T17:15:08.000Z	1423761308	Thu	4	18	night	5:51	b0eb9c751fa5-2015-02-12T17-09-17.wav
motorcycle	5dbdf80c2085-2015-02-12T17-20-46	5dbdf80c2085	2015-02-12T17:22:09.000Z	1423761729	Thu	4	18	night	1:23	5dbdf80c2085-2015-02-12T17-20-46.wav
motorcycle	b0eb9c751fa5-2015-02-13T04-47-24	b0eb9c751fa5	2015-02-13T04:48:58.000Z	1423802938	Fri	5	5	night	1:34	b0eb9c751fa5-2015-02-13T04-47-24.wav
motorcycle	b0eb9c751fa5-2015-02-13T04-47-24	b0eb9c751fa5	2015-02-13T04:49:25.000Z	1423802965	Fri	5	5	night	2:01	b0eb9c751fa5-2015-02-13T04-47-24.wav
motorcycle	b0eb9c751fa5-2015-02-13T11-53-56	b0eb9c751fa5	2015-02-13T11:54:58.000Z	1423828498	Fri	5	12	day	1:02	b0eb9c751fa5-2015-02-13T11-53-56.wav
motorcycle	b0eb9c751fa5-2015-02-13T11-53-56	b0eb9c751fa5	2015-02-13T11:55:39.000Z	1423828539	Fri	5	12	day	1:43	b0eb9c751fa5-2015-02-13T11-53-56.wav
motorcycle	b0eb9c751fa5-2015-02-13T11-53-56	b0eb9c751fa5	2015-02-13T11:56:35.000Z	1423828595	Fri	5	12	day	2:39	b0eb9c751fa5-2015-02-13T11-53-56.wav
