type	id	guardian	time	unixtime	weekday	weekday_num	hour	day_night	seek	location
car	48043ef7e3bc-2015-01-05T09-38-08	48043ef7e3bc	2015-01-05T09:38:55.000Z	1420450735	Mon	1	10	day	0:47	48043ef7e3bc-2015-01-05T09-38-08.wav
car	48043ef7e3bc-2015-01-24T03-40-13	48043ef7e3bc	2015-01-24T03:43:45.000Z	1422071025	Sat	6	4	night	3:32	48043ef7e3bc-2015-01-24T03-40-13.wav
car	48043ef7e3bc-2015-01-27T15-03-45	48043ef7e3bc	2015-01-27T15:03:57.000Z	1422371037	Tue	2	16	day	0:12	48043ef7e3bc-2015-01-27T15-03-45.wav
car	48043ef7e3bc-2015-01-27T15-15-47	48043ef7e3bc	2015-01-27T15:17:32.000Z	1422371852	Tue	2	16	day	1:45	48043ef7e3bc-2015-01-27T15-15-47.wav
car	48043ef7e3bc-2015-01-27T15-15-47	48043ef7e3bc	2015-01-27T15:18:08.000Z	1422371888	Tue	2	16	day	2:21	48043ef7e3bc-2015-01-27T15-15-47.wav
car	48043ef7e3bc-2015-01-27T15-27-49	48043ef7e3bc	2015-01-27T15:28:18.000Z	1422372498	Tue	2	16	day	0:29	48043ef7e3bc-2015-01-27T15-27-49.wav
car	48043ef7e3bc-2015-01-27T15-27-49	48043ef7e3bc	2015-01-27T15:28:22.000Z	1422372502	Tue	2	16	day	0:33	48043ef7e3bc-2015-01-27T15-27-49.wav
car	48043ef7e3bc-2015-01-27T15-27-49	48043ef7e3bc	2015-01-27T15:30:36.000Z	1422372636	Tue	2	16	day	2:47	48043ef7e3bc-2015-01-27T15-27-49.wav
car	48043ef7e3bc-2015-01-27T15-27-49	48043ef7e3bc	2015-01-27T15:33:31.000Z	1422372811	Tue	2	16	day	5:42	48043ef7e3bc-2015-01-27T15-27-49.wav
car	48043ef7e3bc-2015-01-27T15-33-50	48043ef7e3bc	2015-01-27T15:34:39.000Z	1422372879	Tue	2	16	day	0:49	48043ef7e3bc-2015-01-27T15-33-50.wav
car	48043ef7e3bc-2015-01-28T14-52-26	48043ef7e3bc	2015-01-28T14:57:48.000Z	1422457068	Wed	3	15	day	5:22	48043ef7e3bc-2015-01-28T14-52-26.wav
